SC_CLIM_DIV,START_DATE,END_DATE,MONTH,YEAR,    PCP,   TAVG,   TMIN,   TMAX,   PDSI,   PHDI,   ZNDX,   PMDI,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24
4,7/1/1999,7/31/1999,7,1999,4.16,81.2,71.3,91.1,-1.59,-1.59,-1.84,-1.22,-0.8,-1.22,-1.13,-0.7,-0.01,-0.5,0.99
4,8/1/1999,8/31/1999,8,1999,3.84,82.3,71.5,93.1,-2.3,-2.3,-2.61,-2.3,-0.78,-1.27,-1.66,-0.86,-0.11,-0.58,1.1
4,9/1/1999,9/30/1999,9,1999,12.32,71.6,61,82.2,2.09,2.09,6.28,2.09,2.04,1.63,1.14,0.94,0.93,0.53,1.52
4,10/1/1999,10/31/1999,10,1999,5.8,62.7,51.7,73.8,2.97,2.97,3.28,2.97,1.17,2.28,1.87,1.01,0.9,1.16,1.66
4,11/1/1999,11/30/1999,11,1999,1.55,58.3,45.3,71.3,2.33,2.33,-1.01,1.85,-0.54,0.73,2.01,0.9,1.03,1.2,1.52
4,12/1/1999,12/31/1999,12,1999,2.33,46.6,34.4,58.9,1.93,1.93,-0.48,1.2,-0.55,-0.84,0.33,1.04,0.91,0.93,1.43
4,1/1/2000,1/31/2000,1,2000,6.09,43.4,32.9,53.9,2.73,2.73,3.01,2.73,1.48,0.72,0.31,1.63,0.98,0.9,1.27
4,2/1/2000,2/29/2000,2,2000,1.2,49.9,36.4,63.3,-0.82,1.63,-2.47,0.53,-1.45,0.16,-0.17,1.52,0.67,0.8,0.49
4,3/1/2000,3/31/2000,3,2000,3.8,57.6,44.2,71,-0.93,1.26,-0.58,-0.07,0.15,-0.96,0.17,0.33,0.93,0.86,0.35
4,4/1/2000,4/30/2000,4,2000,2.96,60.9,48.5,73.2,-0.81,1.16,0.09,-0.11,-0.01,-0.01,-0.83,-0.32,1.11,0.52,0.16
4,5/1/2000,5/31/2000,5,2000,2.09,73.4,60.3,86.4,-1.38,-1.38,-1.98,-1.38,-0.97,-0.69,-0.55,-0.48,1.15,0.35,0.01
4,6/1/2000,6/30/2000,6,2000,4.24,78.1,66.9,89.4,-1.52,-1.52,-0.84,-1.52,-0.25,-0.9,-0.78,-0.4,-0.12,0.51,0.14
4,7/1/2000,7/31/2000,7,2000,5.97,79.1,68.9,89.4,-1.4,-1.4,-0.12,-1.39,0.25,-0.07,-0.58,-0.98,-0.63,0.75,0.21
4,8/1/2000,8/31/2000,8,2000,5.02,78.4,68.4,88.4,-1.46,-1.46,-0.62,-1.46,-0.15,-0.09,-0.22,-0.6,-0.54,0.96,0.3
4,9/1/2000,9/30/2000,9,2000,9.03,72.8,63.6,82.1,1.22,1.22,3.66,1.22,1.43,1.17,1.08,0.4,0.37,0.44,0.68
4,10/1/2000,10/31/2000,10,2000,0.01,62.2,47.9,76.5,-0.59,-0.59,-1.77,-0.59,-3.09,0.54,0.35,-0.13,-0.57,-0.33,0.59
4,11/1/2000,11/30/2000,11,2000,3.5,51.8,39.1,64.5,-0.14,-0.14,1.17,0.39,0.72,-0.7,0.68,0.33,0.02,-0.09,0.74
4,12/1/2000,12/31/2000,12,2000,1.42,39.4,28.8,49.9,-0.47,-0.47,-1.03,-0.47,-1.31,-0.31,-1.32,0.11,-0.33,-0.24,0.46
4,1/1/2001,1/31/2001,1,2001,1.53,43.7,32.1,55.3,-0.96,-0.96,-1.63,-0.96,-1.18,-1.57,-0.87,-0.29,-0.63,-0.98,-0.07
4,2/1/2001,2/28/2001,2,2001,2.59,51.1,39.3,62.8,-1.26,-1.26,-1.18,-1.26,-0.6,-1.2,-1.54,-0.36,-0.54,-0.75,-0.01
4,3/1/2001,3/31/2001,3,2001,6.29,52.2,40.8,63.5,0.74,0.74,2.23,0.74,1.4,0.62,-0.04,-0.85,0.05,-0.33,0.34
4,4/1/2001,4/30/2001,4,2001,0.67,63.3,50,76.6,-0.87,-0.87,-2.61,-0.87,-1.89,0.07,-0.24,-0.79,-0.39,-0.71,-0.08
4,5/1/2001,5/31/2001,5,2001,2.52,70.6,57.2,84.1,-1.35,-1.35,-1.72,-1.35,-0.63,-1.86,-0.31,-1.32,-0.5,-0.61,-0.16
4,6/1/2001,6/30/2001,6,2001,5.39,77.7,67.6,87.8,-1.16,-1.16,0.15,-0.99,0.37,-0.14,-1.09,-0.73,-1.29,-0.41,0.08
4,7/1/2001,7/31/2001,7,2001,4.79,78.3,68.4,88.1,-1.35,-1.35,-0.92,-1.35,-0.38,-0.08,-0.46,-0.51,-0.94,-0.59,0.16
4,8/1/2001,8/31/2001,8,2001,3.64,79.8,69.1,90.6,-1.94,-1.94,-2.2,-1.94,-0.89,-1.09,-0.69,-0.8,-1.66,-0.88,0.16
4,9/1/2001,9/30/2001,9,2001,3.36,71.5,60.6,82.3,-2.12,-2.12,-1.14,-2.12,-0.25,-0.99,-1.24,-1.58,-1.31,-1.77,-0.82
4,10/1/2001,10/31/2001,10,2001,0.84,61.4,46.7,76.1,-2.61,-2.61,-2.12,-2.61,-1.14,-1.14,-1.68,-1.57,-1.46,-2.04,-1.49
4,11/1/2001,11/30/2001,11,2001,0.93,59.5,45.5,73.6,-3.35,-3.35,-3.01,-3.35,-1.2,-1.97,-1.6,-1.72,-1.76,-2.4,-1.49
4,12/1/2001,12/31/2001,12,2001,1.27,53.2,40.7,65.6,-4.25,-4.25,-3.73,-4.25,-1.46,-2,-2.46,-3.09,-2.84,-2.38,-1.75
4,1/1/2002,1/31/2002,1,2002,3.04,47.5,35.6,59.5,-4.34,-4.34,-1.6,-4.34,-0.03,-0.92,-1.34,-2.2,-2.13,-2,-1.93
4,2/1/2002,2/28/2002,2,2002,1.95,48.8,35.9,61.8,-4.77,-4.77,-2.63,-4.77,-0.98,-0.81,-1.28,-2.45,-2.21,-2.11,-1.79
4,3/1/2002,3/31/2002,3,2002,3.27,56.3,43.6,69,-4.74,-4.74,-1.38,-4.74,-0.17,-0.86,-0.77,-2.07,-2.76,-2.66,-1.9
4,4/1/2002,4/30/2002,4,2002,1.79,67.5,54.8,80.2,-4.93,-4.93,-2.05,-4.93,-0.86,-0.79,-1.23,-1.84,-2.68,-2.34,-2.19
4,5/1/2002,5/31/2002,5,2002,3.25,68.6,55.9,81.3,-4.55,-4.55,-0.37,-4.55,-0.11,-0.7,-0.76,-1.44,-2.18,-2.14,-1.92
4,6/1/2002,6/30/2002,6,2002,3.15,78,66.7,89.3,-4.64,-4.64,-1.68,-4.64,-0.92,-0.86,-1.27,-1.38,-2.33,-2.86,-2.15
4,7/1/2002,7/31/2002,7,2002,4.4,81.9,70.8,93,-4.89,-4.89,-2.18,-4.89,-0.63,-1.15,-1.07,-1.62,-2.32,-3.09,-2.77
4,8/1/2002,8/31/2002,8,2002,7.82,79.6,68.7,90.4,0.46,-3.93,1.37,-3.36,1.1,0.35,-0.18,-0.7,-1.38,-2.83,-2.41
4,9/1/2002,9/30/2002,9,2002,4.69,76.3,67.7,84.9,0.34,-3.59,-0.2,-3.05,0.29,0.79,0.36,-0.46,-0.84,-1.64,-3.09
4,10/1/2002,10/31/2002,10,2002,4.76,67.2,58.9,75.5,0.73,-2.8,1.25,-1.75,0.87,0.65,1.04,0.21,-0.43,-1.07,-2.17
4,11/1/2002,11/30/2002,11,2002,4.1,52.4,40.7,64.1,1.29,-1.88,1.92,-0.12,1.01,1.13,0.9,0.55,0.13,-0.53,-1.84
4,12/1/2002,12/31/2002,12,2002,3.86,44,33,55,1.56,-1.28,1.21,0.83,0.43,0.9,1.07,0.98,0.28,-0.13,-1.67
4,1/1/2003,1/31/2003,1,2003,1.45,41.5,30,53,0.87,-1.68,-1.6,-0.18,-1.26,-0.48,0.14,0.84,0.19,-0.36,-1.54
4,2/1/2003,2/28/2003,2,2003,3.61,46.4,35.4,57.3,0.82,-1.46,0.14,0.03,0,-0.78,-0.4,0.49,0.24,-0.11,-1.39
